Date,close,high,low,open,volume,sma_20,ema_9,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi_14,cci_20,roc_10,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,atr_14,obv,return,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,roll_std_20,roll_mean_5,target_reg
2015-03-25,8530.7998046875,8573.75,8516.5498046875,8568.900390625,161000,8728.707568359374,8611.936723563864,-43.28445906338311,-34.48438576348902,-8.800073299894088,38.45049607379637,2965.877284019405,-1.944268493814339,8444.92242511472,8728.707568359374,9012.492711604027,6.502340490208283,0.1513070391756622,108.75770820182674,245900.0,-0.14222710360253243,-0.0929749494125387,-0.2333477124745964,-0.7383043564707203,-0.42873012391942966,0.9193568411354527,-0.359378164322699,-2.2113918786236364
2015-03-26,8342.150390625,8499.4501953125,8325.349609375,8474.9501953125,280100,8707.452587890622,8557.97945697609,-63.59485315713573,-43.83582388579332,-19.759029271342417,30.18855692546369,3290.6305130515993,-4.943591720316773,8376.126072365689,8707.452587890622,9038.779103415556,7.610182477150817,-0.051272204530415755,115.6643144240177,-34200.0,-2.2113918786236364,-0.14222710360253243,-0.0929749494125387,-0.2333477124745964,-0.590036699653107,1.0285285745842743,-0.6836492001168049,-0.008990487642646094
2015-03-27,8341.400390625,8413.2001953125,8269.150390625,8396.0,193000,8690.330126953124,8514.663643705873,-78.84265647096254,-47.2669017596961,-31.57575471126644,30.16081008527479,3909.424869471726,-3.542535449972536,8320.688615945768,8690.330126953124,9059.97163796048,8.5069613146435,0.028016029128854706,117.69184944283788,-227200.0,-0.008990487642646094,-2.2113918786236364,-0.14222710360253243,-0.0929749494125387,-0.7383043564707203,1.015888995635887,-0.53778642635119,1.8090417315550278
2015-03-30,8492.2998046875,8492.2998046875,8380.75,8390.9501953125,134700,8672.715136718749,8510.190875902199,-77.85288921076062,-37.021707599595345,-40.83118161116528,41.75946235428195,4297.610352915046,-1.6315085405028265,8300.459791602883,8672.715136718749,9044.970481834614,8.584516826565697,0.2576726104831428,120.06381834424232,-92500.0,1.8090417315550278,-0.008990487642646094,-2.2113918786236364,-0.14222710360253243,-0.2333477124745964,1.0114581932990543,-0.12930853754526517,-0.01530568535489385
2015-03-31,8491.0,8550.4501953125,8454.150390625,8527.599609375,167200,8649.427636718749,8506.35270072176,-76.29390624167536,-28.37017970440806,-47.9237265372673,41.695227622800125,4299.659093653616,-2.6629808660556726,8294.099727798628,8649.427636718749,9004.755545638869,8.21621785496359,0.2770684025352427,118.36638879733216,-259700.0,-0.01530568535489385,1.8090417315550278,-0.008990487642646094,-2.2113918786236364,-0.0929749494125387,0.9525409689756584,-0.1137746847337362,1.1217759981156483
2015-04-01,8586.25,8603.400390625,8464.75,8483.7001953125,125500,8628.927636718749,8522.332160577407,-66.60474401527972,-14.94481398240994,-51.65993003286978,48.00674251195621,4025.852054306277,-1.1472660995808357,8312.691284175204,8628.927636718749,8945.163989262293,7.329679094719989,0.43252256362134717,119.815246070737,-134200.0,1.1217759981156483,-0.01530568535489385,1.8090417315550278,-0.008990487642646094,-0.14222710360253243,0.9904075115646543,0.13902593560989995,0.857771327704171
2015-04-06,8659.900390625,8667.5498046875,8573.75,8615.7998046875,146900,8615.79013671875,8549.845806586925,-52.37924679072239,-0.5754534062820866,-51.803793384440304,52.30595052333534,3470.673889868178,0.29242643138644014,8330.627146250794,8615.79013671875,8900.953127186705,6.619543557651177,0.577342178649945,117.95700025764864,12700.0,0.857771327704171,1.1217759981156483,-0.01530568535489385,1.8090417315550278,-2.2113918786236364,1.0086056072015064,0.7528585768754614,0.004612224673294918
2015-04-07,8660.2998046875,8693.599609375,8586.849609375,8684.4501953125,148700,8601.917626953125,8571.93660620704,-40.60513762358096,8.958924608687475,-49.564062232268434,52.328971774876386,2865.7879787615975,1.0430574384026985,8358.808728107735,8601.917626953125,8845.026525798516,5.652434942730359,0.6200741272977915,117.15650023924518,161400.0,0.004612224673294918,0.857771327704171,1.1217759981156483,-0.01530568535489385,-0.008990487642646094,1.0065804002465217,0.7555791193386496,0.6246964557533818
2015-04-08,8714.400390625,8730.5,8679.7998046875,8698.9501953125,148200,8599.800146484376,8600.429363090632,-26.60195535090861,18.36968550508786,-44.97164085599647,55.46465952863843,2690.2116937624805,1.9120793428871823,8361.68304427851,8599.800146484376,8837.917248690243,5.537735718270362,0.7406384150466121,113.80247845876337,309600.0,0.6246964557533818,0.004612224673294918,0.857771327704171,1.1217759981156483,1.8090417315550278,0.9176143437172086,0.5187100641783204,0.7332623152276119
2015-04-09,8778.2998046875,8785.5,8682.4501953125,8756.2001953125,152700,8603.112646484375,8636.003451410006,-10.230255806352943,27.793108039714824,-38.02336384606777,58.90313970569543,2803.571842587351,2.7548985303008773,8356.721206821567,8603.112646484375,8849.504086147183,5.727960327556438,0.8555057725277974,113.03443033224457,462300.0,0.7332623152276119,0.6246964557533818,0.004612224673294918,0.857771327704171,-0.01530568535489385,0.9247583340726425,0.6684236642948216,0.02335081659441407
2015-04-10,8780.349609375,8787.400390625,8733.599609375,8774.349609375,139000,8607.1326171875,8664.872683003005,2.8766756159475335,32.720031569612246,-29.84335595366471,59.01246328852935,2967.3909958778604,2.925280283220074,8351.633621752932,8607.1326171875,8862.63161262207,5.936913181153169,0.8389778341258849,108.80345539779853,601300.0,0.02335081659441407,0.7332623152276119,0.6246964557533818,0.004612224673294918,1.1217759981156483,0.9237996052952409,0.44873862799057473,0.6110279546012176
2015-04-13,8834.0,8841.650390625,8762.099609375,8801.75,121600,8610.0326171875,8698.698146402403,17.39265959363729,37.7888124378416,-20.39615284420431,61.87137930051252,3133.2034462652964,5.895957113500926,8345.313037421487,8610.0326171875,8874.752196953514,6.149095863761896,0.9230276109732142,106.71397867295579,722900.0,0.6110279546012176,0.02335081659441407,0.7332623152276119,0.6246964557533818,0.857771327704171,0.9132598522201735,0.39938995336998406,-1.4410211080767454
